"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Poloz is ired of forward guidance, wants markets o be uncertain h ps://t.co/EmJvtmZbJb",FALSE,3,NA,2017-12-17 17:14:17,FALSE,NA,942442838914105344,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Senate Republican Cornyn: ""I am confiden will pass his bill, probably on Tuesday."" h ps://t.co/7Jpwu15JAV",FALSE,8,NA,2017-12-17 16:42:28,FALSE,NA,942434834797928448,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",6,FALSE,FALSE,NA,NA
"New Austria government: You can have referendums, bu no on EU membership h ps://t.co/hSEBJt3POq",FALSE,3,NA,2017-12-16 22:51:07,FALSE,NA,942165219375304704,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"CSX CEO Hunter Harrison dies h ps://t.co/kjtfhomCnE",FALSE,3,NA,2017-12-16 22:45:18,FALSE,NA,942163754967592960,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Forexlive America FX news wrap: Tax reform votes star o line up h ps://t.co/3FGI73WUea",FALSE,5,NA,2017-12-15 22:06:09,FALSE,NA,941791516061786112,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"US stocks end he session with strong gains. Record closes for he all he indices h ps://t.co/mP3Hg7jc6o",FALSE,2,NA,2017-12-15 21:09:33,FALSE,NA,941777270955499520,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",4,FALSE,FALSE,NA,NA
"CFTC commitmen of raders: EUR longs he highes since May 2007 h ps://t.co/xhB4wrFFI4",FALSE,8,NA,2017-12-15 20:46:51,FALSE,NA,941771558577680384,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Republican Senator Corker o vote ""Yes"" for he ax bill h ps://t.co/gW03vjO7JL",FALSE,0,NA,2017-12-15 20:29:41,FALSE,NA,941767236490072064,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"It's Friday, ha means he commitmen of raders repor will be coming ou h ps://t.co/oZdqb0ByaJ",FALSE,2,NA,2017-12-15 20:25:07,FALSE,NA,941766088680984576,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Marco Rubio confirms he will suppor ax bill h ps://t.co/5WXPexa2Nk",FALSE,4,NA,2017-12-15 19:40:12,FALSE,NA,941754785304375296,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"How o create shareholder value in he bitcoin mania h ps://t.co/HxvmyFNalz h ps://t.co/iOflKg3DeQ",FALSE,12,NA,2017-12-15 18:54:31,FALSE,NA,941743290625470464,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",5,FALSE,FALSE,NA,NA
"@prtscn I hink you're onto something here",FALSE,1,"prtscn",2017-12-15 18:38:39,FALSE,941703945881190400,941739297304084480,21519259,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",0,FALSE,FALSE,NA,NA
"USD/CAD erases Thursday's decline. What's nex h ps://t.co/9LdOpctKwA",FALSE,2,NA,2017-12-15 18:20:54,FALSE,NA,941734827920973824,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"EURUSD makes a run a he lows/swing area h ps://t.co/ztz8dBiSyi",FALSE,2,NA,2017-12-15 18:08:32,FALSE,NA,941731718444265472,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Baker Hughes US oil rig coun 747 vs 751 prior h ps://t.co/PweBDZko65",FALSE,0,NA,2017-12-15 18:00:59,FALSE,NA,941729818663620608,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"No single rading strategy dominated 2017 - Credi Agricole h ps://t.co/H1KXmaH0hE",FALSE,0,NA,2017-12-15 17:50:48,FALSE,NA,941727256266903552,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"This week in FX was all abou he Australian and New Zealand dollars h ps://t.co/V6WtBNjfbn",FALSE,2,NA,2017-12-15 17:08:15,FALSE,NA,941716546296209408,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Solid gains in he cards for EUR/USD nex year - ING h ps://t.co/jYFZbTo9Cw",FALSE,1,NA,2017-12-15 16:55:16,FALSE,NA,941713278769692672,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"The Nasdaq composite index has reached a new record high h ps://t.co/mKm9OotUCz",FALSE,0,NA,2017-12-15 16:51:50,FALSE,NA,941712416550871040,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Mixed finish for European stock markets h ps://t.co/GEEGvEU6Ew",FALSE,1,NA,2017-12-15 16:33:17,FALSE,NA,941707747049066496,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"NY Fed Nowcas GDP estimate up o 4.0% from 3.9% h ps://t.co/D7aUVam50J",FALSE,1,NA,2017-12-15 16:29:00,FALSE,NA,941706669628841984,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Forex echnical analysis: GBPUSD falls o new lows into he week end fixing h ps://t.co/K7DtQG2Jxg",FALSE,2,NA,2017-12-15 16:16:13,FALSE,NA,941703452807323648,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"US ax bill o be released oday: All he lates h ps://t.co/ILm2FIkDH8",FALSE,2,NA,2017-12-15 16:08:59,FALSE,NA,941701631057555456,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"USDJPY moves higher. Rubio ""Yes"" on ax vote helping h ps://t.co/mOYD9WsDt4",FALSE,10,NA,2017-12-15 15:25:06,FALSE,NA,941690588847640576,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",5,FALSE,FALSE,NA,NA
"USD/CAD climbs back above 1.2800 h ps://t.co/oVSZGjiwqi",FALSE,0,NA,2017-12-15 15:08:42,FALSE,NA,941686459110711296,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Forex echnical analysis: EURUSD moves back oward lows in up and down day h ps://t.co/AV0DkdfRFi h ps://t.co/jEz0F49YEB",FALSE,1,NA,2017-12-15 15:06:50,FALSE,NA,941685991068221440,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Chicago Fed Presiden Evans explains his dissen h ps://t.co/1olOrkO9ag h ps://t.co/g2x88eg7eH",FALSE,1,NA,2017-12-15 15:06:14,FALSE,NA,941685837640753152,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Forex echnical analysis: EURUSD moves back oward lows in up and down day h ps://t.co/HIRh9apnWm",FALSE,1,NA,2017-12-15 15:01:43,FALSE,NA,941684700992737280,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"@rmclellan333 That's wha she said. It's factual. Maybe she's wrong bu hat's wha she said.",FALSE,0,"rmclellan333",2017-12-15 14:37:37,FALSE,941677742260674560,941678636830220288,704778641918574592,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",0,FALSE,FALSE,NA,NA
"US stocks bounce back a he open h ps://t.co/XGp2t0jhTm",FALSE,2,NA,2017-12-15 14:36:37,FALSE,NA,941678387071995904,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Forex echnical analysis: GBPUSD umbles o lower rend line. Finding some buyers h ps://t.co/n38Ei54Clv",FALSE,1,NA,2017-12-15 14:26:00,FALSE,NA,941675714893492224,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Theresa May: We will leave he EU on March 29, 2019 h ps://t.co/7DJqstXkhQ",FALSE,5,NA,2017-12-15 14:25:23,FALSE,NA,941675560543105024,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"US November industrial production +0.2% vs +0.3% expected h ps://t.co/goxGyp5GHy",FALSE,1,NA,2017-12-15 14:15:06,FALSE,NA,941672972812738560,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"It's all abou he cross-currency basis oday h ps://t.co/6ldNZVJSqB h ps://t.co/S4DvCzIh6X",FALSE,12,NA,2017-12-15 14:06:29,FALSE,NA,941670800993775616,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",4,FALSE,FALSE,NA,NA
"EURGBP is aking off. Moves above some echnical levels on he surge higher h ps://t.co/Ks3dNVIIg2",FALSE,0,NA,2017-12-15 13:54:36,FALSE,NA,941667810874417152,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Canada October manufacturing sales -0.4% vs +1.0% expected h ps://t.co/rsSw6lpGbK",FALSE,0,NA,2017-12-15 13:30:08,FALSE,NA,941661655926272000,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"US Empire manufacturing for December 18.0 vs. 18.7 estimate h ps://t.co/wiULkCsRop",FALSE,0,NA,2017-12-15 13:30:08,FALSE,NA,941661655154425856,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"The NZD is he strongest, while he GBP is he weakes as NY rader enter h ps://t.co/rtafnkX0bO h ps://t.co/B2SUN39ABN",FALSE,2,NA,2017-12-15 13:19:21,FALSE,NA,941658939535396864,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",1,FALSE,FALSE,NA,NA
"The NZD is he strongest, while he GBP is he weakes as NY rader enter h ps://t.co/A7OwdTHshr",FALSE,2,NA,2017-12-15 13:17:52,FALSE,NA,941658566578114560,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Germany's SPD party agrees o star alks on forming gov with conservatives h ps://t.co/8enozRebJl",FALSE,1,NA,2017-12-15 13:17:34,FALSE,NA,941658494737973248,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Moody's: Brexi breakthrough is positive, bu more complex alks awai h ps://t.co/BA6TL7XOi3",FALSE,0,NA,2017-12-15 13:16:00,FALSE,NA,941658099370389504,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Macron: We need a stable, strong Germany o advance in Europe h ps://t.co/Id7KPVZpk3",FALSE,0,NA,2017-12-15 13:11:04,FALSE,NA,941656855201361920,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Merkel: Draghi old EU leaders ha Eurozone economy is in very good shape h ps://t.co/JK24dADEEO",FALSE,0,NA,2017-12-15 12:53:49,FALSE,NA,941652517708058624,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Italy PM Gentiloni: Second phase of Brexi alks ""very complicated"" h ps://t.co/R6HUrOONFt",FALSE,3,NA,2017-12-15 12:45:43,FALSE,NA,941650477128802304,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"UK PM May: We will secure he greates possible access o European markets h ps://t.co/9vk6EQHwgP",FALSE,3,NA,2017-12-15 12:28:40,FALSE,NA,941646185642815488,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"ForexLive European FX news wrap: Tax woes weigh on he USD, while GBP slips ahead of Brexi rade alks h ps://t.co/NEt6bb09FA",FALSE,0,NA,2017-12-15 12:25:04,FALSE,NA,941645281145294848,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"BOE Q4 2017 quarterly bulletin says Brexi is still influencing household outlook h ps://t.co/fPgm27G1Xb",FALSE,0,NA,2017-12-15 12:01:49,FALSE,NA,941639429642440704,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"EU summi press conference due a 1200 GMT h ps://t.co/pHuVZdUSrG",FALSE,1,NA,2017-12-15 11:55:37,FALSE,NA,941637867473981440,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Bitcoin continues its surge o record highs h ps://t.co/9W8qGBYXYZ",FALSE,2,NA,2017-12-15 11:51:13,FALSE,NA,941636761154916352,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"EU's Tusk: EU leaders formally approve second phase of Brexi alks h ps://t.co/RvBhoSJvvG",FALSE,1,NA,2017-12-15 11:28:18,FALSE,NA,941630993383018496,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"Schulz: Recommends ha SDP begin exploratory alks with Merkel on forming coalition h ps://t.co/XgjVOoFPj4",FALSE,0,NA,2017-12-15 11:20:58,FALSE,NA,941629149034184704,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"UK PM spokesman Blain: Gov has no plans o remove exi date in EU withdrawal bill h ps://t.co/YJR1gZwXIZ",FALSE,2,NA,2017-12-15 11:11:11,FALSE,NA,941626685371318272,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Quick snapsho on he major currencies bloc so far oday h ps://t.co/yoxpUd7hta",FALSE,0,NA,2017-12-15 11:06:25,FALSE,NA,941625485997625344,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"FX option expiries - 15 Dec 2017 h ps://t.co/tR1LbZqUej",FALSE,3,NA,2017-12-15 10:21:16,FALSE,NA,941614125590904832,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Eurozone October rade balance EUR 19.0bn vs EUR 24.3bn expected h ps://t.co/VX1Sbt94iu",FALSE,0,NA,2017-12-15 10:00:21,FALSE,NA,941608863199002624,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"More from Nowotny: No possibility o expand corporate bond purchases h ps://t.co/V3hB2OzYky",FALSE,0,NA,2017-12-15 09:56:26,FALSE,NA,941607877789315072,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"USD/CAD ouches session lows as dollar remains plagued by ax bill uncertainties h ps://t.co/mVPR8Zc7Qb",FALSE,0,NA,2017-12-15 09:41:46,FALSE,NA,941604185140842496,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"ECB's Nowotny: ECB should look hrough oil-price impac on inflation h ps://t.co/fMMidLQnmb",FALSE,2,NA,2017-12-15 09:14:03,FALSE,NA,941597208809533440,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Bank of Spain estimates GDP grew 3.1% in 2017 h ps://t.co/pKffRMxvAw",FALSE,3,NA,2017-12-15 09:08:19,FALSE,NA,941595768158412800,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"JP Morgan sees he SP500 hi ing he 3,000 mark in 2018 h ps://t.co/kW3qrUHNKo",FALSE,1,NA,2017-12-15 08:53:45,FALSE,NA,941592099870445568,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"USD/JPY falls o session lows, suppor levels nearby h ps://t.co/kgU6exYaXK",FALSE,4,NA,2017-12-15 08:24:13,FALSE,NA,941584668163559424,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"European equities open softer on he day h ps://t.co/h9bbNKCbHy",FALSE,2,NA,2017-12-15 08:08:12,FALSE,NA,941580637038960640,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"EU's Juncker: European leaders did no discuss Brexi las nigh a dinner h ps://t.co/u2sZlL1DVW",FALSE,0,NA,2017-12-15 08:03:22,FALSE,NA,941579422410395648,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Trading ideas for he European session h ps://t.co/SoRtWt8xMo",FALSE,2,NA,2017-12-15 08:01:19,FALSE,NA,941578904409726976,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"France Q3 final wages q/q +0.3% vs +0.3% prelim h ps://t.co/ULhrCNjzeH",FALSE,0,NA,2017-12-15 07:45:09,FALSE,NA,941574837444718592,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Bundesbank: German economy reaching increasingly mature state h ps://t.co/plJlrOqub2",FALSE,1,NA,2017-12-15 07:31:57,FALSE,NA,941571514083823616,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Dollar selling resumes as ax bill uncertainty continues o weigh in h ps://t.co/gDw5cGx6zY",FALSE,6,NA,2017-12-15 07:22:27,FALSE,NA,941569125201129472,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Eurostoxx futures down -0.3% in early European rading h ps://t.co/2OVTJgtdsx",FALSE,0,NA,2017-12-15 07:03:02,FALSE,NA,941564236903469056,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"NZD/USD playing ping pong over he las wo days h ps://t.co/JLDonsfp2R",FALSE,1,NA,2017-12-15 06:54:49,FALSE,NA,941562169874927616,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"US regulators don' rate Bitcoin as a risk o he financial system h ps://t.co/UzRJkRq40q",FALSE,2,NA,2017-12-15 06:33:57,FALSE,NA,941556920418291712,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
